iter	Passed	Remaining
0	1	1195
1	2	1013
2	3	1138
3	5	1281
4	6	1281
5	7	1247
6	9	1302
7	10	1312
8	11	1256
9	12	1231
10	13	1213
11	14	1205
12	15	1188
13	16	1171
14	18	1209
15	20	1263
16	24	1438
17	26	1436
18	27	1401
19	27	1367
20	28	1335
21	29	1316
22	30	1291
23	31	1272
24	32	1254
25	33	1254
26	35	1272
27	37	1305
28	38	1288
29	39	1270
30	40	1251
31	41	1241
32	41	1227
33	42	1221
34	43	1211
35	44	1199
36	45	1186
37	46	1177
38	47	1172
39	49	1182
40	51	1200
41	52	1198
42	53	1186
43	54	1174
44	54	1162
45	55	1151
46	56	1140
47	56	1129
48	57	1121
49	58	1111
50	59	1104
51	59	1093
52	60	1085
53	61	1082
54	62	1080
55	64	1093
56	67	1117
57	68	1115
58	69	1111
59	70	1111
60	71	1105
61	72	1099
62	73	1094
63	74	1088
64	75	1085
65	77	1090
66	79	1106
67	81	1112
68	82	1108
69	82	1102
70	83	1096
71	84	1090
72	85	1083
73	86	1077
74	86	1071
75	87	1066
76	88	1060
77	89	1056
78	90	1052
79	91	1048
80	92	1052
81	93	1048
82	94	1042
83	95	1036
84	95	1031
85	96	1025
86	97	1020
87	97	1015
88	98	1011
89	100	1013
90	101	1010
91	101	1006
92	102	1002
93	103	997
94	104	993
95	105	991
96	108	1012
97	111	1025
98	112	1022
99	113	1018
100	113	1014
101	114	1011
102	115	1008
103	116	1007
104	119	1015
105	121	1021
106	123	1031
107	125	1040
108	127	1038
109	127	1034
110	129	1038
111	130	1036
112	131	1034
