iter	RMSE
0	10048.33505
1	9655.272593
2	9290.857426
3	8929.048605
4	8593.755516
5	8283.651593
6	7997.743123
7	7701.262386
8	7430.89021
9	7176.582583
10	6927.912693
11	6682.885464
12	6442.613141
13	6218.486658
14	5993.629278
15	5770.338574
16	5590.176277
17	5386.12493
18	5201.617385
19	5035.278309
20	4880.826351
21	4724.269969
22	4572.994279
23	4427.687448
24	4301.217366
25	4178.74467
26	4050.423601
27	3923.797185
28	3807.145835
29	3701.120353
30	3593.888055
31	3487.743452
32	3386.766764
33	3306.589033
34	3222.246792
35	3153.140323
36	3077.177905
37	3005.255148
38	2929.349251
39	2856.829402
40	2795.021427
41	2733.594177
42	2673.481168
43	2619.406828
44	2561.937279
45	2509.018035
46	2458.586969
47	2417.144009
48	2378.106534
49	2338.280651
50	2293.401547
51	2259.372292
52	2226.412202
53	2192.896199
54	2161.376242
55	2132.162823
56	2102.229703
57	2078.356092
58	2049.88006
59	2022.252991
60	2000.32742
61	1972.679141
62	1947.413098
63	1927.993219
64	1910.474003
65	1891.335309
66	1873.840831
67	1851.365692
68	1834.950527
69	1816.650233
70	1803.223384
71	1784.767741
72	1769.627712
73	1749.710154
74	1731.508769
75	1717.376429
76	1700.244887
77	1683.121617
78	1667.556938
79	1651.361401
80	1641.135445
81	1625.667321
82	1610.296454
83	1593.578344
84	1583.441536
85	1571.110922
86	1557.411793
87	1542.731624
88	1528.821305
89	1518.311502
90	1506.374792
91	1497.519355
92	1487.582474
93	1477.935042
94	1464.7394
95	1455.768467
96	1446.713499
97	1438.066036
98	1425.633385
99	1415.238403
100	1404.987961
101	1394.382138
102	1384.746439
103	1371.977993
104	1364.974585
105	1353.439612
106	1344.308413
107	1335.99168
108	1329.958361
109	1321.806057
110	1311.349349
111	1302.200568
112	1293.92896
