iter	Passed	Remaining
0	2	2578
1	3	1993
2	5	1928
3	7	1944
4	9	1799
5	10	1682
6	11	1572
7	12	1588
8	14	1581
9	15	1525
10	16	1484
11	17	1455
12	19	1463
13	20	1462
14	22	1449
15	23	1438
16	24	1440
17	26	1430
18	27	1414
19	28	1409
20	30	1400
21	31	1409
22	32	1391
23	33	1372
24	34	1354
25	35	1341
26	37	1342
27	38	1335
28	39	1327
29	40	1315
30	41	1303
31	43	1301
32	44	1296
33	45	1286
34	46	1283
35	47	1285
36	49	1280
37	50	1283
38	51	1276
39	52	1269
40	54	1264
41	55	1275
42	57	1273
43	58	1265
44	59	1260
45	60	1255
46	62	1261
47	64	1273
48	65	1274
49	66	1271
50	68	1279
51	69	1270
52	70	1268
53	72	1262
54	73	1258
55	74	1264
56	76	1262
57	77	1257
58	78	1255
59	80	1255
60	81	1254
61	82	1254
62	84	1252
63	85	1249
64	87	1257
65	88	1254
66	90	1254
67	91	1251
68	92	1247
69	93	1245
70	95	1243
71	96	1240
72	97	1235
73	98	1231
74	99	1228
75	100	1227
76	101	1221
77	103	1217
78	103	1212
79	104	1207
80	105	1201
81	107	1200
82	108	1198
83	109	1194
84	110	1190
85	111	1188
86	112	1184
87	113	1179
88	114	1175
89	115	1170
90	116	1166
91	117	1161
92	119	1162
93	120	1159
94	121	1155
95	122	1151
96	123	1148
97	124	1145
98	125	1143
99	126	1139
100	127	1135
101	128	1132
102	129	1128
103	130	1125
104	131	1121
105	132	1117
106	133	1113
107	134	1110
108	135	1109
109	136	1108
110	138	1107
111	139	1107
112	140	1106
