,dt,Цена на арматуру
0,2015-01-05,32900
1,2015-01-12,32500
2,2015-01-19,32000
3,2015-01-26,30700
4,2015-02-02,30300
5,2015-02-09,30300
6,2015-02-16,30100
7,2015-02-23,29400
8,2015-03-02,29200
9,2015-03-09,29000
10,2015-03-16,28700
11,2015-03-23,27800
12,2015-03-30,27200
13,2015-04-06,26600
14,2015-04-13,25700
15,2015-04-20,24800
16,2015-04-27,24700
17,2015-05-04,24300
18,2015-05-11,23900
19,2015-05-18,24000
20,2015-05-25,23700
21,2015-06-01,23500
22,2015-06-08,23800
23,2015-06-15,24400
24,2015-06-22,25000
25,2015-06-29,25300
26,2015-07-06,25500
27,2015-07-13,25500
28,2015-07-20,25400
29,2015-07-27,25200
30,2015-08-03,25000
31,2015-08-10,24700
32,2015-08-17,24400
33,2015-08-24,24100
34,2015-08-31,24100
35,2015-09-07,23900
36,2015-09-14,24200
37,2015-09-21,24200
38,2015-09-28,24000
39,2015-10-05,24000
40,2015-10-12,23800
41,2015-10-19,23800
42,2015-10-26,24200
43,2015-11-02,24500
44,2015-11-09,24500
45,2015-11-16,23950
46,2015-11-23,23750
47,2015-11-30,23100
48,2015-12-07,22800
49,2015-12-14,22000
50,2015-12-21,21700
51,2015-12-28,21300
52,2016-01-04,21300
53,2016-01-11,21300
54,2016-01-18,21200
55,2016-01-25,21000
56,2016-02-01,21000
57,2016-02-08,21000
58,2016-02-15,21200
59,2016-02-22,21800
60,2016-02-29,22450
61,2016-03-07,23300
62,2016-03-14,23800
63,2016-03-21,25500
64,2016-03-28,26700
65,2016-04-04,29900
66,2016-04-11,29950
67,2016-04-18,31500
68,2016-04-25,31900
69,2016-05-02,40300
70,2016-05-09,43500
71,2016-05-16,43350
72,2016-05-23,42950
73,2016-05-30,42000
74,2016-06-06,38300
75,2016-06-13,37500
76,2016-06-20,36800
77,2016-06-27,35400
78,2016-07-04,34400
79,2016-07-11,33400
80,2016-07-18,32500
81,2016-07-25,32000
82,2016-08-01,31000
83,2016-08-08,30200
84,2016-08-15,29200
85,2016-08-22,28850
86,2016-08-29,28700
87,2016-09-05,28500
88,2016-09-12,30000
89,2016-09-19,32000
90,2016-09-26,32500
91,2016-10-03,33300
92,2016-10-10,34300
93,2016-10-17,33700
94,2016-10-24,32200
95,2016-10-31,30400
96,2016-11-07,30200
97,2016-11-14,29800
98,2016-11-21,33500
99,2016-11-28,33500
100,2016-12-05,33500
101,2016-12-12,33500
102,2016-12-19,33000
103,2016-12-26,32500
104,2017-01-02,33750
105,2017-01-09,33750
106,2017-01-16,33750
107,2017-01-23,33750
108,2017-01-30,33000
109,2017-02-06,32600
110,2017-02-13,32000
111,2017-02-20,31300
112,2017-02-27,30300
