iter	Passed	Remaining
0	1	1155
1	1	943
2	2	853
3	3	808
4	3	776
5	4	761
6	5	747
7	6	769
8	7	771
9	7	785
10	8	789
11	9	792
12	10	782
13	10	773
14	11	766
15	12	759
16	13	753
17	13	748
18	14	743
19	15	738
20	15	733
21	16	729
22	17	726
23	17	722
24	18	719
25	19	716
26	19	714
27	20	710
28	21	712
29	22	716
30	22	717
31	23	722
32	25	746
33	26	749
34	27	746
35	27	743
36	28	741
37	29	739
38	29	737
39	30	734
40	31	732
41	31	729
42	32	727
43	33	723
44	33	721
45	34	718
46	35	716
47	36	717
48	37	722
49	38	724
50	38	723
51	39	717
52	40	714
53	40	712
54	41	710
55	42	708
56	42	706
57	43	704
58	44	703
59	44	701
60	45	699
61	46	697
62	46	696
63	47	694
64	48	693
65	48	691
66	49	689
67	50	688
68	51	690
69	52	693
70	52	692
71	53	690
72	54	689
73	54	687
74	55	686
75	56	684
76	56	683
77	57	681
78	58	680
79	59	678
80	59	677
81	60	676
82	61	674
83	61	673
84	62	671
85	63	670
86	63	669
87	64	668
88	65	666
89	65	665
90	66	665
91	67	665
92	68	664
93	68	662
94	69	661
95	70	659
96	70	658
97	71	657
98	72	655
99	72	654
100	73	653
101	74	652
102	74	651
103	75	650
104	76	649
105	76	648
106	77	646
107	78	645
108	78	644
109	79	643
110	80	642
111	80	641
112	81	641
